Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição_Proporcional;Valor_Venda_Proporcional;Contraparte
2021-01-20;ADA;200,0;2019-05-01;0,0;59,56;EUR
2021-02-14;ADA;23,7;2019-05-01;0,0;35,28;EUR
2021-02-14;ADA;25,0;2019-05-01;0,0;35,28;EUR
2021-02-20;ADA;261,0;2020-02-02;0,0;228,01;EUR
2021-02-20;ADA;260,8;2020-02-02;0,0;227,84;EUR
2021-02-20;ADA;16,7;2020-02-02;0,0;14,59;EUR
2021-02-20;ADA;27,7;2020-02-02;0,0;24,2;EUR
2021-02-20;ADA;73,0;2020-02-02;0,0;63,77;EUR
2021-02-20;ADA;27,7;2020-02-02;0,0;24,2;EUR
2021-02-20;ADA;76,7;2020-02-02;0,0;67,01;EUR
2021-02-20;ADA;114,2;2020-02-02;0,0;99,77;EUR
2021-02-20;ADA;16,8;2020-02-02;0,0;214,65;EUR
2021-02-20;ADA;228,9;2020-02-02;0,0;214,65;EUR
2021-02-20;ADA;747,7;2020-02-02;0,0;2730,41;EUR
2021-02-20;ADA;2377,7;2020-02-02;0,0;2730,41;EUR
2021-02-20;ADA;38,1;2020-02-02;0,0;33,28;EUR
2021-02-20;ADA;33,7;2020-02-02;0,0;29,44;EUR
2021-02-20;ADA;38,1;2020-02-02;0,0;33,28;EUR
2021-02-20;ADA;33,6;2020-02-02;0,0;62,64;EUR
2021-02-20;ADA;38,1;2020-02-02;0,0;62,64;EUR
2021-02-20;ADA;60,5;2020-02-02;0,0;106,49;EUR
2021-02-20;ADA;33,6;2020-02-02;0,0;106,49;EUR
2021-02-20;ADA;27,8;2020-02-02;0,0;106,49;EUR
2021-02-20;ADA;27,8;2020-02-02;0,0;24,29;EUR
2021-02-20;ADA;918,8;2020-02-02;0,0;810,03;EUR
2021-02-20;ADA;312,0;2019-04-26;0,0;275,07;EUR
2021-02-20;ADA;494,0;2019-05-03;0,0;435,52;EUR
2021-02-20;ADA;1136,0;2019-06-05;0,0;1001,52;EUR
2021-02-20;ADA;5536,2;2019-06-28;0,0;4880,83;EUR
2021-02-20;ADA;76,9;2019-06-28;0,0;7402,97;EUR
2021-02-20;ADA;4948,1;2019-06-28;0,0;4322,76;EUR
2021-02-20;ADA;27,8;2019-06-28;0,0;24,29;EUR
2021-03-31;BNB;3,813762;2019-01-19;0,0;1405,75;EUR
2021-03-31;BNB;1,816238;2019-05-25;0,0;669,46;EUR
2021-03-31;BNB;3,813762;2019-01-18;0,0;1405,75;EUR
2021-03-31;BNB;0,14075878;2019-07-03;0,0;51,88;EUR
2021-03-31;BNB;0,14075878;2019-06-28;0,0;51,88;EUR
2021-03-31;BNB;0,00023998;2019-10-07;775,77;0,09;EUR
2021-03-31;BNB;0,03554326;2019-05-01;0,0;13,1;EUR
2021-03-31;BNB;0,03554326;2019-04-03;0,0;13,1;EUR
2021-03-31;BNB;0,00500081;2020-02-01;0,0;1,84;EUR
2021-03-31;BNB;0,00102913;2019-05-15;0,0;0,38;EUR
2021-03-31;BNB;0,00327352;2019-04-19;0,0;1,21;EUR
2021-03-31;BNB;0,00316784;2019-01-02;0,0;1,17;EUR
2021-03-31;BNB;0,04236911;2019-03-26;0,0;15,62;EUR
2021-03-31;BNB;0,04236911;2019-10-29;53,73;15,62;EUR
2021-03-31;BNB;0,0005521;2019-05-01;0,0;0,2;EUR
2021-03-31;BNB;2,593e-05;2019-05-24;0,0;0,01;EUR
2021-03-31;BNB;0,04018499;2018-12-26;0,0;14,81;EUR
2021-03-31;BNB;0,0005521;2019-10-04;42,35;0,2;EUR
2021-03-31;BNB;2,593e-05;2020-01-07;0,0;0,01;EUR
2021-03-31;BNB;0,04018499;2019-10-07;445,96;14,81;EUR
2021-04-02;BTC;0,000371;2019-05-15;0,0;18,67;EUR
2021-04-02;BTC;0,00056364;2019-05-15;0,0;28,37;EUR
2021-04-02;BTC;8,536e-05;2019-07-18;0,0;4,3;EUR
2021-04-02;BTC;0,000648;2019-07-18;0,0;32,61;EUR
2021-04-02;BTC;0,000648;2019-07-18;0,0;868,53;EUR
2021-04-02;BTC;0,00249072;2019-07-18;0,0;264,52;EUR
2021-04-02;BTC;0,00568728;2019-07-28;0,0;604,01;EUR
2021-04-02;BTC;0,008432;2019-07-28;0,0;868,53;EUR
2021-04-02;BTC;0,00430648;2019-07-28;0,0;216,73;EUR
2021-04-02;BTC;0,0026704;2019-09-20;0,0;134,39;EUR
2021-04-02;BTC;0,00097515;2019-07-24;0,0;49,08;EUR
2021-04-02;BTC;0,00047997;2019-01-03;0,0;24,16;EUR
2021-04-02;BTC;0,00686503;2019-01-03;0,0;651,9;EUR
2021-04-02;BTC;0,00097515;2019-03-19;0,0;92,6;EUR
2021-04-02;BTC;0,00059182;2019-04-01;0,0;56,2;EUR
2021-04-02;BTC;0,000992;2019-04-01;0,0;800,69;EUR
2021-04-02;BTC;0,00576118;2019-04-01;0,0;711,21;EUR
2021-04-02;BTC;0,00072482;2021-02-02;0,0;89,48;EUR
2021-04-02;BTC;0,006486;2021-02-02;0,0;326,42;EUR
2021-04-02;BTC;0,00910266;2021-02-02;0,0;458,1;EUR
2021-04-02;BTC;0,04114334;2021-02-20;0,0;2070,6;EUR
2021-04-02;ADA;732,3;2019-06-28;0,0;3077,67;EUR
2021-04-02;ADA;409,7;2019-06-28;0,0;3077,67;EUR
2021-04-02;ADA;558,1;2019-06-28;0,0;3077,67;EUR
2021-04-02;ADA;315,1;2019-06-28;0,0;3077,67;EUR
2021-04-02;ADA;611,2;2019-06-28;0,0;3077,67;EUR
2021-04-02;ADA;373,6;2019-06-28;0,0;3077,67;EUR
2021-04-18;ADA;125,0;2020-06-27;0,0;1824,91;EUR
2021-04-18;ADA;918,2;2020-06-29;0,0;13405,03;EUR
2021-04-18;ADA;94,9;2020-06-29;0,0;15229,93;EUR
2021-04-18;ADA;11,9;2020-06-29;0,0;604,12;EUR
2021-04-18;ADA;288,1;2020-07-04;0,0;14625,81;EUR
2021-04-18;ADA;1228,1;2020-07-04;0,0;15229,93;EUR
2021-04-18;ADA;1693,7;2020-07-04;0,0;15229,93;EUR
2021-04-18;ADA;2456,1;2020-07-04;0,0;3719,83;EUR
2021-04-18;ADA;739,0;2020-07-04;0,0;1119,24;EUR
2021-04-18;ADA;3975,0;2020-07-09;0,0;6020,24;EUR
2021-04-18;ADA;2885,8;2020-07-09;0,0;4370,62;EUR
2021-04-18;ADA;94,9;2020-07-09;0,0;15229,93;EUR
2021-04-19;VET;1002,0;2019-03-08;0,0;200,3;EUR
2021-04-19;VET;13455,0;2019-03-09;0,0;2689,65;EUR
2021-04-19;VET;400,0;2019-03-09;0,0;79,96;EUR
2021-04-19;VET;400,0;2019-01-31;0,0;79,96;EUR
2021-04-19;VET;400,0;2019-04-02;0,0;79,96;EUR
2021-04-19;VET;400,0;2019-04-10;0,0;79,96;EUR
2021-04-19;VET;19431,0;2019-04-10;0,0;3884,26;EUR
2021-04-19;VET;14712,0;2019-03-23;0,0;2940,93;EUR
2021-04-19;VET;400,0;2019-04-14;0,0;79,96;EUR
2021-04-19;VET;152,4;2019-03-28;0,0;30,46;EUR
2021-04-19;ADA;19,3;2020-07-09;0,0;19,67;EUR
2021-04-19;ADA;19,1;2020-07-09;0,0;19,47;EUR
2021-04-19;ADA;19,1;2020-07-09;0,0;19,47;EUR
2021-04-19;ADA;1996,8;2020-07-09;0,0;2050,19;EUR
2021-04-19;ADA;676,4;2020-07-09;0,0;694,49;EUR
2021-04-19;ADA;19,3;2020-07-09;0,0;2744,68;EUR
2021-05-06;ADA;1566,0;2020-07-13;0,0;2165,31;EUR
2021-05-07;AVAX;21,0;2020-02-02;0,0;740,14;EUR
2021-05-07;AVAX;0,8;2020-02-02;0,0;28,2;EUR
2021-05-07;AVAX;21,0;2019-09-25;1057,24;740,14;EUR
2021-05-07;AVAX;0,8;2020-02-02;0,0;28,2;EUR
2021-05-07;AVAX;3,474;2020-04-13;0,0;122,44;EUR
2021-05-09;ADA;1058,36;2020-07-13;0,0;11284,46;EUR
2021-05-09;ADA;2055,64;2020-07-13;0,0;4090,42;EUR
2021-05-09;ADA;3615,36;2020-07-14;0,0;7194,04;EUR
2021-05-09;ADA;1270,0;2020-07-14;0,0;11284,46;EUR
2021-05-09;ADA;0,64;2020-07-14;0,0;0,9;EUR
2021-05-15;ADA;998,93;2020-07-14;0,0;2017,81;EUR
2021-05-15;ADA;6,01;2020-07-14;0,0;2017,81;EUR
2021-05-15;ADA;131,0;2020-07-14;0,0;2017,81;EUR
2021-05-15;ADA;63,71;2020-07-14;0,0;2017,81;EUR
2021-05-15;ADA;0,35;2020-07-14;0,0;0,59;EUR
2021-05-20;VET;566,0;2020-07-09;0,0;377,7;EUR
2021-05-20;VET;1906,0;2020-07-11;0,0;1271,9;EUR
2021-05-20;VET;2403,26;2020-07-11;0,0;1603,73;EUR
2021-05-20;VET;1596,74;2020-07-11;0,0;921,0;EUR
2021-05-20;VET;4043,55;2019-03-28;0,0;2332,32;EUR
2021-05-20;VET;2213,45;2019-03-28;0,0;1800,27;EUR
2021-05-20;VET;210,0;2021-04-19;0,0;170,8;EUR
2021-05-20;VET;1576,55;2021-04-19;0,0;1282,26;EUR
2021-05-20;VET;849,44;2021-04-19;0,0;3253,32;EUR
2021-05-20;VET;3831,01;2021-04-19;0,0;941,42;EUR
2021-05-20;VET;210,0;2019-05-06;0,0;51,6;EUR
2021-05-20;VET;9198,0;2019-01-02;0,0;2260,3;EUR
2021-05-20;AVAX;56,226;2020-04-13;0,0;1412,83;EUR
2021-05-20;AVAX;27,0;2020-05-22;0,0;678,45;EUR
2021-05-20;AVAX;8,6;2019-10-07;778,27;216,1;EUR
2021-05-20;AVAX;29,3;2020-01-15;0,0;736,24;EUR
2021-05-20;AVAX;58,6;2019-05-21;0,0;1472,48;EUR
2021-05-20;AVAX;1,5;2020-02-01;0,0;37,69;EUR
2021-05-20;AVAX;10,0;2020-05-31;0,0;251,28;EUR
2021-05-20;AVAX;20,0;2020-09-18;0,0;502,55;EUR
2021-05-20;AVAX;3,732;2019-10-29;36,29;93,78;EUR
2021-05-20;AVAX;22,895;2019-10-29;222,6;5401,4;EUR
2021-05-21;THETA;3,0;2021-02-20;0,0;26,51;EUR
2021-05-23;LINK;50,0;2021-05-07;0,0;839,25;EUR
2021-05-23;LINK;50,0;2021-05-07;0,0;841,05;EUR
2021-05-23;LINK;50,0;2021-05-07;0,0;833,8;EUR
2021-05-23;LINK;50,0;2021-05-07;0,0;837,25;EUR
2021-05-23;LINK;50,0;2021-05-07;0,0;837,8;EUR
2021-05-23;ETH;2,5;2021-05-23;0,0;4431,8;EUR
2021-05-23;ETH;2,5;2021-05-23;0,0;4442,05;EUR
2021-05-24;ADA;242,71;2021-05-24;0,0;299,99;EUR
2021-05-24;ADA;134,13;2021-05-24;0,0;165,78;EUR
2021-05-24;ADA;80,38;2021-05-24;0,0;99,35;EUR
2021-05-24;ADA;80,99;2021-05-24;0,0;12347,0;EUR
2021-05-24;ADA;9919,01;2021-05-24;0,0;12347,0;EUR
2021-05-24;ADA;10000,0;2021-05-24;0,0;12344,0;EUR
2021-05-24;ADA;79,65;2021-05-24;0,0;98,45;EUR
2021-05-24;ADA;176,05;2021-05-24;0,0;11696,43;EUR
2021-05-24;ADA;4947,73;2021-05-24;0,0;11696,43;EUR
2021-05-24;ADA;4339,0;2021-05-24;0,0;11696,43;EUR
2021-05-24;ADA;0,35;2021-05-24;0,0;11696,43;EUR
2021-05-24;ADA;49,0;2021-05-24;0,0;12784,32;EUR
2021-05-24;ADA;1500,0;2021-05-24;0,0;12784,32;EUR
2021-05-24;ADA;8752,5;2021-05-24;0,0;12784,32;EUR
